file,reverberation-time
wav/maes_howe__stereo__mh3_000_ortf_48k.wav,0.58
wav/st_margarets_church_national_centre_early_music__b-format__r23_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r24_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r11_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r5_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r12_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r5_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r16_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r25_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r10_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r11_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r1_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r9_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r5_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r16_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r18_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r19_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r15_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r26_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r23_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r9_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r10_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r14_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r18_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r19_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r12_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r13_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r2_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r11_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r14_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r25_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r21_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r20_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r8_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r24_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r14_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r22_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r7_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r6_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r4_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r9_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r3_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r20_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r1_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r13_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r6_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r7_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r17_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r4_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r19_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r23_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r8_3rd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r2_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r21_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r22_1st_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r10_2nd_configuration.wav,1.49
wav/st_margarets_church_national_centre_early_music__b-format__r17_2nd_configuration.wav,1.49
